Full Name,Date of Birth,Gender,Email,Phone,Address,City,State,Zip,Income Range,Education,Marital Status,Occupation,Employer,Purchase History,Browsing Interests,Credit Score
Amit Deshmukh,1985-04-12,Male,amit.deshmukh@gmail.com,9876543210,12 MG Road,Mumbai,Maharashtra,400001,₹5L-₹8L,Bachelor's,Married,Software Engineer,TCS,"Electronics, Books","Cricket, Technology",750
Sneha Kulkarni,1990-08-25,Female,sneha.kulkarni@yahoo.in,9876543211,45 Shivaji Nagar,Pune,Maharashtra,411005,₹3L-₹5L,Master's,Single,Marketing Executive,Infosys,"Clothing, Cosmetics","Travel, Fitness",720
Rohit Patil,1982-12-05,Male,rohit.patil@rediffmail.com,9876543212,78 MG Road,Nagpur,Maharashtra,440001,₹6L-₹9L,Bachelor's,Married,Accountant,ICICI Bank,"Groceries, Electronics","Finance, Reading",730
Meera Joshi,1995-03-18,Female,meera.joshi@outlook.in,9876543213,23 FC Road,Pune,Maharashtra,411004,₹4L-₹6L,Bachelor's,Single,HR Specialist,Wipro,"Books, Cosmetics","Cooking, Music",710
Sanjay More,1988-07-22,Male,sanjay.more@hotmail.com,9876543214,56 MG Road,Nashik,Maharashtra,422001,₹5L-₹7L,Master's,Married,Project Manager,L&T,"Tools, Electronics","Travel, Sports",740
Priya Shinde,1993-11-30,Female,priya.shinde@gmail.com,9876543215,89 Deccan Gymkhana,Pune,Maharashtra,411004,₹3L-₹5L,Bachelor's,Single,Content Writer,MediaCorp,"Books, Fashion","Fitness, Reading",700
Vikram Joshi,1987-01-15,Male,vikram.joshi@yahoo.com,9876543216,34 Bandra West,Mumbai,Maharashtra,400050,₹7L-₹10L,Master's,Married,Financial Analyst,HDFC,"Investments, Electronics","Finance, Travel",760
Anjali Desai,1991-06-10,Female,anjali.desai@rediffmail.com,9876543217,12 Kothrud,Pune,Maharashtra,411038,₹4L-₹6L,Bachelor's,Single,Teacher,State School,"Books, Stationery","Education, Cooking",715
Ramesh Kulkarni,1984-09-25,Male,ramesh.kulkarni@outlook.com,9876543218,78 Shivaji Nagar,Nagpur,Maharashtra,440001,₹6L-₹8L,Bachelor's,Married,Engineer,TechCorp,"Tools, Electronics","Technology, Sports",735
Neha Patil,1992-12-05,Female,neha.patil@hotmail.in,9876543219,56 FC Road,Pune,Maharashtra,411004,₹3L-₹5L,Master's,Single,HR Manager,Wipro,"Books, Cosmetics","Fitness, Music",720
