id,account_holder,bank_name,account_number,routing_or_ifsc,balance,source,created_at
1,John Doe,Example Bank,0123456789,110000000,15230,phish_kit,2025-09-07T14:27:15.631210
2,Jane Smith,Test National,9876543210,IFSC0001,87300,scraped_dump,2025-09-07T14:27:15.631210
3,John Doe,Example Bank,0123456789,110000000,15230,phish_kit,2025-09-07T14:28:07.256820
4,Jane Smith,Test National,9876543210,IFSC0001,87300,scraped_dump,2025-09-07T14:28:07.256820
5,Haley Hopkins,Hall Ltd Bank,1449072571,129328773,438703,honeypot_generated,2025-09-08T01:19:45
6,Anthony Martinez,"Foster, Bell and Hernandez Bank",1863046395,050359112,150873.03,honeypot_generated,2025-09-08T01:19:45
7,Kelly Norton,"Smith, Boyd and Moore Bank",7968221862,057550846,746925.34,honeypot_generated,2025-09-08T01:19:45
8,Jose Liu,Alexander LLC Bank,8401407293,063187753,752791.05,honeypot_generated,2025-09-08T01:19:45
9,Joshua Rogers,Watson-Martin Bank,7625471423,029725188,692276.05,honeypot_generated,2025-09-08T01:19:45
10,Colleen Mueller,"Lee, Phillips and Johnson Bank",4634868562,023037351,648880.84,honeypot_generated,2025-09-08T01:19:45
11,Randy Martin,"Smith, Murray and Jennings Bank",4192114266,022409388,213511.55,honeypot_generated,2025-09-08T01:19:45
12,Steven Norris,Hill Group Bank,0738636619,010179303,171559.22,honeypot_generated,2025-09-08T01:19:45
13,Christopher Massey,Flynn Inc Bank,2930289301,097993117,755766.12,honeypot_generated,2025-09-08T01:19:45
14,Jason Green,Oliver-Dickerson Bank,3995098086,087374089,551127.5,honeypot_generated,2025-09-08T01:19:45
15,Kellie Brewer,"Cook, Rice and Nolan Bank",0197215808,075033057,704783.16,honeypot_generated,2025-09-08T01:19:45
16,Ronald Byrd,"Sherman, Gonzalez and Burns Bank",1659713366,129286530,984541.79,honeypot_generated,2025-09-08T01:19:45
17,Jessica Liu,Brown Group Bank,0985887239,074575147,365567.69,honeypot_generated,2025-09-08T01:19:45
18,Chelsea Friedman,Parsons LLC Bank,3704963712,095139591,397711.53,honeypot_generated,2025-09-08T01:19:45
19,Donald Craig,"Stone, Bowman and Morris Bank",4655107356,038982569,278946.8,honeypot_generated,2025-09-08T01:19:45
20,Barbara Huber,"Moreno, Martin and Richardson Bank",9949429485,010684788,938085.47,honeypot_generated,2025-09-08T01:19:45
21,Jessica Campbell,"Davis, Colon and Flores Bank",5095879978,103754949,881018.93,honeypot_generated,2025-09-08T01:19:45
22,Jason West,Hunt and Sons Bank,9862160125,072839144,989794.43,honeypot_generated,2025-09-08T01:19:45
23,Lisa Wade,Lambert PLC Bank,1662528708,051965835,775226.14,honeypot_generated,2025-09-08T01:19:45
