id,username_or_email,password,source,breached_at,created_at
1,user@example.com,Password123!,sample_breach,2025-09-07T14:27:15.631210,2025-09-07T14:27:15.631210
2,jane@domain.test,qwerty!@#,darknet_list,2025-09-07T14:27:15.631210,2025-09-07T14:27:15.631210
3,user@example.com,Password123!,sample_breach,2025-09-07T14:28:07.256820,2025-09-07T14:28:07.256820
4,jane@domain.test,qwerty!@#,darknet_list,2025-09-07T14:28:07.256820,2025-09-07T14:28:07.256820
5,shawchristopher@example.com,gtmfqaed,Ruiz-Randolph_breach_1999,2025-09-08T01:19:45,2025-09-08T01:19:45
6,hobbszachary@example.com,west christineland47,Patterson Inc_breach_1994,2025-09-08T01:19:45,2025-09-08T01:19:45
7,kimberlywalters@example.net,tqgfkcnk,Benson-Clark_breach_1991,2025-09-08T01:19:45,2025-09-08T01:19:45
8,william05@example.com,allen998,Mccormick-Adkins_breach_1973,2025-09-08T01:19:45,2025-09-08T01:19:45
9,ericproctor@example.com,johnsonberg5,Carter Group_breach_2022,2025-09-08T01:19:45,2025-09-08T01:19:45
10,jbaker@example.net,kathleen224,"Larsen, Cox and Allen_breach_1982",2025-09-08T01:19:45,2025-09-08T01:19:45
11,christinaburnett@example.com,debate56,Diaz PLC_breach_2009,2025-09-08T01:19:45,2025-09-08T01:19:45
12,mirandarebecca@example.net,okcuicvv,Harrison Ltd_breach_2024,2025-09-08T01:19:45,2025-09-08T01:19:45
13,christine80@example.com,himself10,"Sparks, Hunter and Garcia_breach_1996",2025-09-08T01:19:45,2025-09-08T01:19:45
14,oliviarasmussen@example.net,harristown81,"Gonzalez, Clark and Silva_breach_1995",2025-09-08T01:19:45,2025-09-08T01:19:45
15,carriepotter@example.net,heidi120,Sosa LLC_breach_1980,2025-09-08T01:19:45,2025-09-08T01:19:45
16,derek59@example.net,miguel706,Hickman-Murray_breach_1984,2025-09-08T01:19:45,2025-09-08T01:19:45
17,shirley79@example.com,company351,Hill Group_breach_1977,2025-09-08T01:19:45,2025-09-08T01:19:45
18,diane08@example.com,paulfurt41,Lopez-Gonzalez_breach_2000,2025-09-08T01:19:45,2025-09-08T01:19:45
19,johnsandoval@example.net,company260,Ross-Morton_breach_1993,2025-09-08T01:19:45,2025-09-08T01:19:45
20,bradshawkathleen@example.net,west laurachester82,Zavala-Nelson_breach_2012,2025-09-08T01:19:45,2025-09-08T01:19:45
21,halljacqueline@example.net,lake monica93,Diaz and Sons_breach_2004,2025-09-08T01:19:45,2025-09-08T01:19:45
22,itucker@example.org,rollqwye,Roberts-Ortiz_breach_1982,2025-09-08T01:19:45,2025-09-08T01:19:45
23,wolfpatrick@example.com,password468,Black-Bates_breach_2005,2025-09-08T01:19:45,2025-09-08T01:19:45
24,louiswilliams@example.com,password519,"Russell, Khan and Fox_breach_1984",2025-09-08T01:19:45,2025-09-08T01:19:45
25,danielzachary@example.org,password523,"Faulkner, Walters and Bryan_breach_1984",2025-09-08T01:19:45,2025-09-08T01:19:45
26,reeselarry@example.org,dwjneefw,Mclaughlin Inc_breach_2023,2025-09-08T01:19:45,2025-09-08T01:19:45
27,edward08@example.com,anthonybury71,Miller-Smith_breach_2007,2025-09-08T01:19:45,2025-09-08T01:19:45
28,angela53@example.net,password776,Mclaughlin-Stafford_breach_1983,2025-09-08T01:19:45,2025-09-08T01:19:45
29,aprilgallegos@example.net,melissa726,Williams-Good_breach_1989,2025-09-08T01:19:45,2025-09-08T01:19:45
30,qford@example.net,kathy167,Vaughn-Cruz_breach_1984,2025-09-08T01:19:45,2025-09-08T01:19:45
31,obrooks@example.net,myersside24,"Ballard, Reyes and Armstrong_breach_1973",2025-09-08T01:19:45,2025-09-08T01:19:45
32,iparks@example.net,determine38,"Forbes, Thomas and Griffin_breach_2025",2025-09-08T01:19:45,2025-09-08T01:19:45
33,phillipscalvin@example.net,password202,Brown LLC_breach_1992,2025-09-08T01:19:45,2025-09-08T01:19:45
34,shahleslie@example.net,mccarthyport35,Phelps Group_breach_1982,2025-09-08T01:19:45,2025-09-08T01:19:45
35,john19@example.com,password73,"Mcdonald, Moore and Martinez_breach_1981",2025-09-08T01:19:45,2025-09-08T01:19:45
36,eturner@example.org,wileyhaven86,"Lee, Nash and Williams_breach_2021",2025-09-08T01:19:45,2025-09-08T01:19:45
37,eevans@example.com,password125,Clark PLC_breach_1986,2025-09-08T01:19:45,2025-09-08T01:19:45
